Entity,Code,Year,Terrestrial protected areas (% of total land area)
Mali,MLI,2017,8.23161
Mali,MLI,2018,8.23161
Mali,MLI,2019,8.23161
Mali,MLI,2020,7.52705
Mali,MLI,2021,7.5270495
Mali,MLI,2022,7.5270495
Malta,MLT,2016,23.69
Malta,MLT,2017,30.286375
Malta,MLT,2018,30.286375
Malta,MLT,2019,30.17002
Malta,MLT,2020,30.63528
Malta,MLT,2021,30.63583
Malta,MLT,2022,30.63583
Marshall Islands,MHL,2016,12.06
Marshall Islands,MHL,2017,11.915709
Marshall Islands,MHL,2018,11.915709
Marshall Islands,MHL,2019,11.91571
Marshall Islands,MHL,2020,11.91571
Marshall Islands,MHL,2021,11.915709
Marshall Islands,MHL,2022,11.915709
Mauritania,MRT,2016,0.62
Mauritania,MRT,2017,0.62198824
Mauritania,MRT,2018,0.62198824
Mauritania,MRT,2019,0.621988
Mauritania,MRT,2020,0.621988
Mauritania,MRT,2021,0.62198824
Mauritania,MRT,2022,0.6219882
Mauritius,MUS,2016,4.75
Mauritius,MUS,2017,4.725389
Mauritius,MUS,2018,4.725389
Mauritius,MUS,2019,4.725389
Mauritius,MUS,2020,4.725389
Mauritius,MUS,2021,4.725389
Mauritius,MUS,2022,4.725389
Mexico,MEX,2016,14.27
Mexico,MEX,2017,14.500532
Mexico,MEX,2018,14.500532
Mexico,MEX,2019,14.49159
Mexico,MEX,2020,14.49159
Mexico,MEX,2021,14.491586
Mexico,MEX,2022,14.59794
Micronesia (country),FSM,2016,4.28
Micronesia (country),FSM,2017,0.04916284
Micronesia (country),FSM,2018,0.04916284
Micronesia (country),FSM,2019,0.049163
Micronesia (country),FSM,2020,0.049163
Micronesia (country),FSM,2021,0.04916284
Micronesia (country),FSM,2022,0.0491628
Middle East and North Africa (WB),,2016,6.5976186
Middle East and North Africa (WB),,2017,6.731664
Middle East and North Africa (WB),,2018,6.731664
Middle East and North Africa (WB),,2019,6.741401
Middle East and North Africa (WB),,2020,5.125968
Middle East and North Africa (WB),,2021,5.0716333
Middle-income countries,,2016,14.47567
Middle-income countries,,2017,14.311317
Middle-income countries,,2018,14.3113575
Middle-income countries,,2019,14.394124
Middle-income countries,,2020,14.550653
Middle-income countries,,2021,15.1383095
Moldova,MDA,2016,4.15
Moldova,MDA,2017,4.1505346
Moldova,MDA,2018,4.1505346
Moldova,MDA,2019,4.150535
Moldova,MDA,2020,4.150535
Moldova,MDA,2021,11.43058
Moldova,MDA,2022,11.43058
Monaco,MCO,2016,62.5
Monaco,MCO,2017,33.1551
Monaco,MCO,2018,33.1551
Monaco,MCO,2019,33.15511
Monaco,MCO,2020,33.15511
Monaco,MCO,2021,10.1800375
Monaco,MCO,2022,10.1800375
Mongolia,MNG,2016,17.4
Mongolia,MNG,2017,17.713882
Mongolia,MNG,2018,17.713882
Mongolia,MNG,2019,17.71388
Mongolia,MNG,2020,19.79836
Mongolia,MNG,2021,19.798367
Mongolia,MNG,2022,19.798367
Montenegro,MNE,2016,4.06
Montenegro,MNE,2017,6.400711
Montenegro,MNE,2018,6.400711
Montenegro,MNE,2019,10.54801
Montenegro,MNE,2020,13.78214
Montenegro,MNE,2021,13.782141
Montenegro,MNE,2022,13.851891
Morocco,MAR,2016,30.81
Morocco,MAR,2017,30.777601
Morocco,MAR,2018,30.777601
Morocco,MAR,2019,30.7776
Morocco,MAR,2020,4.267908
Morocco,MAR,2021,2.2007163
Morocco,MAR,2022,2.2007163
Mozambique,MOZ,2016,21.59
Mozambique,MOZ,2017,21.593227
Mozambique,MOZ,2018,21.593227
Mozambique,MOZ,2019,21.57328
Mozambique,MOZ,2020,29.4848
Mozambique,MOZ,2021,29.4848
Mozambique,MOZ,2022,29.4848
Myanmar,MMR,2016,7.17
Myanmar,MMR,2017,6.370501
Myanmar,MMR,2018,6.370501
Myanmar,MMR,2019,6.350931
Myanmar,MMR,2020,6.580059
Myanmar,MMR,2021,6.580059
Myanmar,MMR,2022,6.580059
Namibia,NAM,2016,37.89
Namibia,NAM,2017,37.89093
Namibia,NAM,2018,37.89093
Namibia,NAM,2019,37.89093
Namibia,NAM,2020,37.89093
Namibia,NAM,2021,37.89093
Namibia,NAM,2022,37.89093
Nauru,NRU,2021,0
Nauru,NRU,2022,0
Nepal,NPL,2016,23.63
Nepal,NPL,2017,23.626041
Nepal,NPL,2018,23.626041
Nepal,NPL,2019,23.62604
Nepal,NPL,2020,23.62604
Nepal,NPL,2021,23.626041
Nepal,NPL,2022,23.626041
Netherlands,NLD,2016,11.33
Netherlands,NLD,2017,11.243734
Netherlands,NLD,2018,11.243734
Netherlands,NLD,2019,22.47624
Netherlands,NLD,2020,22.48051
Netherlands,NLD,2021,22.479755
Netherlands,NLD,2022,22.468718
New Caledonia,NCL,2016,54.41
New Caledonia,NCL,2017,54.404156
New Caledonia,NCL,2018,54.404156
New Caledonia,NCL,2019,59.65821
New Caledonia,NCL,2020,59.65821
New Caledonia,NCL,2021,59.65821
New Caledonia,NCL,2022,59.65821
New Zealand,NZL,2016,32.55
New Zealand,NZL,2017,32.545258
New Zealand,NZL,2018,32.545258
New Zealand,NZL,2019,32.80693
New Zealand,NZL,2020,33.39541
New Zealand,NZL,2021,33.395412
New Zealand,NZL,2022,33.395412
Nicaragua,NIC,2016,37.23
Nicaragua,NIC,2017,37.22587
Nicaragua,NIC,2018,37.22587
Nicaragua,NIC,2019,37.22587
Nicaragua,NIC,2020,21.34728
Nicaragua,NIC,2021,21.347277
Nicaragua,NIC,2022,21.347277
Niger,NER,2016,17.32
Niger,NER,2017,17.317093
Niger,NER,2018,17.317093
Niger,NER,2019,17.31709
Niger,NER,2020,18.19902
Niger,NER,2021,18.19902
Niger,NER,2022,18.19902
Nigeria,NGA,2016,13.93
Nigeria,NGA,2017,13.929584
Nigeria,NGA,2018,13.929584
Nigeria,NGA,2019,13.92958
Nigeria,NGA,2020,13.92958
Nigeria,NGA,2021,13.926649
Nigeria,NGA,2022,13.926649
North America (WB),,2016,11.324723
North America (WB),,2017,11.333661
North America (WB),,2018,11.333661
North America (WB),,2019,11.820556
North America (WB),,2020,10.842905
North America (WB),,2021,12.336967
North Korea,PRK,2016,2.44
North Korea,PRK,2017,2.4353416
North Korea,PRK,2018,2.4353416
North Korea,PRK,2019,2.435342
North Korea,PRK,2020,2.435342
North Korea,PRK,2021,2.4353416
North Korea,PRK,2022,2.4353416
North Macedonia,MKD,2016,9.65
North Macedonia,MKD,2017,9.654065
North Macedonia,MKD,2018,9.654065
North Macedonia,MKD,2019,10.56065
North Macedonia,MKD,2020,8.957362
North Macedonia,MKD,2021,12.483646
North Macedonia,MKD,2022,15.393756
Northern Mariana Islands,MNP,2016,7.58
Northern Mariana Islands,MNP,2017,7.66945
Northern Mariana Islands,MNP,2018,7.66945
Northern Mariana Islands,MNP,2019,7.66945
Northern Mariana Islands,MNP,2020,7.659096
Northern Mariana Islands,MNP,2021,7.659096
Northern Mariana Islands,MNP,2022,7.659096
Norway,NOR,2016,16.97
Norway,NOR,2017,17.106493
Norway,NOR,2018,17.106493
Norway,NOR,2019,16.83086
Norway,NOR,2020,17.60164
Norway,NOR,2021,29.91704
Norway,NOR,2022,30.517597
Oman,OMN,2016,2.57
Oman,OMN,2017,2.5727332
Oman,OMN,2018,2.5727332
Oman,OMN,2019,2.572733
Oman,OMN,2020,2.572733
Oman,OMN,2021,3.5802445
Oman,OMN,2022,3.5802445
Pakistan,PAK,2016,12.31
Pakistan,PAK,2017,12.314586
Pakistan,PAK,2018,12.314586
Pakistan,PAK,2019,12.31459
Pakistan,PAK,2020,12.31459
Pakistan,PAK,2021,12.314586
Pakistan,PAK,2022,12.314586
Palau,PLW,2016,27.94
Palau,PLW,2017,28.00019
Palau,PLW,2018,28.00019
Palau,PLW,2019,44.1768
Palau,PLW,2020,44.1768
Palau,PLW,2021,44.176796
Palau,PLW,2022,44.176796
Palestine,PSE,2017,8.359252
Palestine,PSE,2018,8.359252
Palestine,PSE,2019,8.359252
Palestine,PSE,2020,8.359252
Palestine,PSE,2021,8.359252
Palestine,PSE,2022,8.359252
Panama,PAN,2016,20.89
Panama,PAN,2017,20.89194
Panama,PAN,2018,20.89194
Panama,PAN,2019,20.89204
Panama,PAN,2020,31.93587
Panama,PAN,2021,31.367085
Panama,PAN,2022,31.367085
Papua New Guinea,PNG,2016,3.07
Papua New Guinea,PNG,2017,3.06593
Papua New Guinea,PNG,2018,3.06593
Papua New Guinea,PNG,2019,3.69006
Papua New Guinea,PNG,2020,3.69006
Papua New Guinea,PNG,2021,3.6900601
Papua New Guinea,PNG,2022,3.6900601
Paraguay,PRY,2016,6.51
Paraguay,PRY,2017,14.314736
Paraguay,PRY,2018,14.314736
Paraguay,PRY,2019,14.31472
Paraguay,PRY,2020,14.31472
Paraguay,PRY,2021,14.31472
Paraguay,PRY,2022,14.31472
Peru,PER,2016,21.27
Peru,PER,2017,21.314173
Peru,PER,2018,21.314173
Peru,PER,2019,21.53343
Peru,PER,2020,21.63516
Peru,PER,2021,22.26778
Peru,PER,2022,22.519667
Philippines,PHL,2016,15.32
Philippines,PHL,2017,15.316659
Philippines,PHL,2018,15.316659
Philippines,PHL,2019,15.37247
Philippines,PHL,2020,15.37247
Philippines,PHL,2021,15.86869
Philippines,PHL,2022,15.86869
Poland,POL,2016,39.62
Poland,POL,2017,39.65014
Poland,POL,2018,39.65014
Poland,POL,2019,39.73741
Poland,POL,2020,39.54286
Poland,POL,2021,39.537792
Poland,POL,2022,39.568817
Portugal,PRT,2016,22.96
Portugal,PRT,2017,22.90118
Portugal,PRT,2018,22.90118
Portugal,PRT,2019,22.91624
Portugal,PRT,2020,22.9124
Portugal,PRT,2021,22.912395
Portugal,PRT,2022,22.913128
Puerto Rico,PRI,2016,7.44
Puerto Rico,PRI,2017,7.269165
Puerto Rico,PRI,2018,7.269165
Puerto Rico,PRI,2019,7.269165
Puerto Rico,PRI,2020,7.181382
Puerto Rico,PRI,2021,7.37549
Puerto Rico,PRI,2022,7.37549
Qatar,QAT,2016,2.45
Qatar,QAT,2017,13.229236
Qatar,QAT,2018,13.229236
Qatar,QAT,2019,13.22924
Qatar,QAT,2020,15.78167
Qatar,QAT,2021,15.781666
Qatar,QAT,2022,15.781666
Romania,ROU,2016,24.35
Romania,ROU,2017,24.461868
Romania,ROU,2018,24.461868
Romania,ROU,2019,24.52046
Romania,ROU,2020,24.52046
Romania,ROU,2021,24.52049
Romania,ROU,2022,24.521362
Russia,RUS,2016,9.72
Russia,RUS,2017,9.726914
Russia,RUS,2018,9.726914
Russia,RUS,2019,9.726914
Russia,RUS,2020,9.726914
Russia,RUS,2021,11.453189
Russia,RUS,2022,11.453189
Rwanda,RWA,2016,9.12
Rwanda,RWA,2017,9.114089
Rwanda,RWA,2018,9.114089
Rwanda,RWA,2019,9.114089
Rwanda,RWA,2020,9.105247
Rwanda,RWA,2021,9.1052475
Rwanda,RWA,2022,9.1052475
Saint Kitts and Nevis,KNA,2016,3.32
Saint Kitts and Nevis,KNA,2017,3.3166347
Saint Kitts and Nevis,KNA,2018,3.3166347
Saint Kitts and Nevis,KNA,2019,22.89831
Saint Kitts and Nevis,KNA,2020,22.89831
Saint Kitts and Nevis,KNA,2021,22.898314
Saint Kitts and Nevis,KNA,2022,22.898314
Saint Lucia,LCA,2016,18.8
Saint Lucia,LCA,2017,18.745209
Saint Lucia,LCA,2018,18.745209
Saint Lucia,LCA,2019,18.74521
Saint Lucia,LCA,2020,18.74521
Saint Lucia,LCA,2021,18.745209
Saint Lucia,LCA,2022,18.745209
Saint Martin (French part),MAF,2016,16.78
Saint Martin (French part),MAF,2017,12.771551
Saint Martin (French part),MAF,2018,12.771551
Saint Martin (French part),MAF,2019,12.77155
Saint Martin (French part),MAF,2020,12.77169
Saint Martin (French part),MAF,2021,12.7715435
Saint Martin (French part),MAF,2022,12.77155
Saint Vincent and the Grenadines,VCT,2016,22.44
Saint Vincent and the Grenadines,VCT,2017,22.419622
Saint Vincent and the Grenadines,VCT,2018,22.419622
Saint Vincent and the Grenadines,VCT,2019,22.41962
Saint Vincent and the Grenadines,VCT,2020,22.41962
Saint Vincent and the Grenadines,VCT,2021,22.419622
Saint Vincent and the Grenadines,VCT,2022,22.419622
Samoa,WSM,2016,6.77
Samoa,WSM,2017,7.349585
Samoa,WSM,2018,7.349585
Samoa,WSM,2019,7.349585
Samoa,WSM,2020,8.224874
Samoa,WSM,2021,8.224874
Samoa,WSM,2022,8.224874
Sao Tome and Principe,STP,2016,29.21
Sao Tome and Principe,STP,2017,29.255909
Sao Tome and Principe,STP,2018,29.255909
Sao Tome and Principe,STP,2019,29.25591
Sao Tome and Principe,STP,2020,29.25591
Sao Tome and Principe,STP,2021,29.255909
Sao Tome and Principe,STP,2022,29.255909
Saudi Arabia,SAU,2016,4.33
Saudi Arabia,SAU,2017,4.760127
Saudi Arabia,SAU,2018,4.760127
Saudi Arabia,SAU,2019,4.760127
Saudi Arabia,SAU,2020,4.760127
Saudi Arabia,SAU,2021,4.760127
Saudi Arabia,SAU,2022,4.760127
Senegal,SEN,2016,25.21
Senegal,SEN,2017,25.352774
Senegal,SEN,2018,25.352774
Senegal,SEN,2019,25.35277
Senegal,SEN,2020,25.35277
Senegal,SEN,2021,26.39417
Senegal,SEN,2022,26.39417
Serbia,SRB,2016,6.15
Serbia,SRB,2017,6.613107
Serbia,SRB,2018,6.613107
Serbia,SRB,2019,7.555409
Serbia,SRB,2020,7.6445
Serbia,SRB,2021,7.6472874
Serbia,SRB,2022,8.13799
Seychelles,SYC,2016,42.1
Seychelles,SYC,2017,42.094048
Seychelles,SYC,2018,42.094048
Seychelles,SYC,2019,49.63874
Seychelles,SYC,2020,61.52088
Seychelles,SYC,2021,61.520878
Seychelles,SYC,2022,61.520878
Sierra Leone,SLE,2016,9.39
Sierra Leone,SLE,2017,9.386319
Sierra Leone,SLE,2018,9.386319
Sierra Leone,SLE,2019,9.386319
Sierra Leone,SLE,2020,9.386319
Sierra Leone,SLE,2021,12.749683
Sierra Leone,SLE,2022,12.749683
Singapore,SGP,2016,5.62
Singapore,SGP,2017,5.5545597
Singapore,SGP,2018,5.5545597
Singapore,SGP,2019,5.55456
Singapore,SGP,2020,5.55456
Singapore,SGP,2021,5.5545597
Singapore,SGP,2022,5.5545597
Sint Maarten (Dutch part),SXM,2017,0.000372594
Sint Maarten (Dutch part),SXM,2018,0.000372594
Sint Maarten (Dutch part),SXM,2019,0.000373
Sint Maarten (Dutch part),SXM,2020,0.000373
Sint Maarten (Dutch part),SXM,2021,0.7269735
Sint Maarten (Dutch part),SXM,2022,0.7269735
Slovakia,SVK,2016,37.28
Slovakia,SVK,2017,37.630413
Slovakia,SVK,2018,37.630413
Slovakia,SVK,2019,37.58672
Slovakia,SVK,2020,37.5878
Slovakia,SVK,2021,37.58747
Slovakia,SVK,2022,37.586582
Slovenia,SVN,2016,53.64
Slovenia,SVN,2017,53.62296
Slovenia,SVN,2018,53.62296
Slovenia,SVN,2019,53.56117
Slovenia,SVN,2020,40.36329
Slovenia,SVN,2021,40.363102
Slovenia,SVN,2022,40.438786
Solomon Islands,SLB,2016,2.21
Solomon Islands,SLB,2017,2.210266
Solomon Islands,SLB,2018,2.210266
Solomon Islands,SLB,2019,1.764128
Solomon Islands,SLB,2020,1.817043
Solomon Islands,SLB,2021,1.8170428
Solomon Islands,SLB,2022,2.0041173
Somalia,SOM,2016,0.83
Somalia,SOM,2020,0
Somalia,SOM,2021,0
Somalia,SOM,2022,0
South Africa,ZAF,2016,14.13
South Africa,ZAF,2017,7.998165
South Africa,ZAF,2018,7.998165
South Africa,ZAF,2019,8.335646
South Africa,ZAF,2020,8.63465
South Africa,ZAF,2021,8.693371
South Africa,ZAF,2022,9.261615
South Asia (WB),,2016,7.292877
South Asia (WB),,2017,7.2915707
South Asia (WB),,2018,7.291752
South Asia (WB),,2019,7.291752
South Asia (WB),,2020,7.753339
South Asia (WB),,2021,8.747063
South Korea,KOR,2016,11.23
South Korea,KOR,2017,11.671125
South Korea,KOR,2018,11.671125
South Korea,KOR,2019,15.70074
South Korea,KOR,2020,16.7402
South Korea,KOR,2021,16.965345
South Korea,KOR,2022,16.965345
South Sudan,SSD,2016,15.5
South Sudan,SSD,2017,15.501501
South Sudan,SSD,2018,15.501501
South Sudan,SSD,2019,15.5015
South Sudan,SSD,2020,15.5015
South Sudan,SSD,2021,15.501501
South Sudan,SSD,2022,15.501501
Spain,ESP,2016,28.02
Spain,ESP,2017,28.065634
Spain,ESP,2018,28.065634
Spain,ESP,2019,28.10086
Spain,ESP,2020,28.12026
Spain,ESP,2021,28.124727
Spain,ESP,2022,28.116674
Sri Lanka,LKA,2016,29.86
Sri Lanka,LKA,2017,29.862
Sri Lanka,LKA,2018,29.862
Sri Lanka,LKA,2019,29.862
Sri Lanka,LKA,2020,29.862
Sri Lanka,LKA,2021,29.862
Sri Lanka,LKA,2022,29.862
Sub-Saharan Africa (WB),,2016,16.099516
Sub-Saharan Africa (WB),,2017,16.43233
Sub-Saharan Africa (WB),,2018,16.432327
Sub-Saharan Africa (WB),,2019,16.522623
Sub-Saharan Africa (WB),,2020,16.366665
Sub-Saharan Africa (WB),,2021,16.42634
Sudan,SDN,2016,2.28
Sudan,SDN,2017,2.281763
Sudan,SDN,2018,2.281763
Sudan,SDN,2019,2.281763
Sudan,SDN,2020,2.281763
Sudan,SDN,2021,2.2817633
Sudan,SDN,2022,2.2817633
Suriname,SUR,2016,14.52
Suriname,SUR,2017,14.520139
Suriname,SUR,2018,14.520139
Suriname,SUR,2019,14.52014
Suriname,SUR,2020,14.52014
Suriname,SUR,2021,14.520139
Suriname,SUR,2022,14.520139
Sweden,SWE,2016,14.47
Sweden,SWE,2017,14.882028
Sweden,SWE,2018,14.882028
Sweden,SWE,2019,14.37436
Sweden,SWE,2020,14.46126
Sweden,SWE,2021,14.518863
Sweden,SWE,2022,15.429169
Switzerland,CHE,2016,9.65
Switzerland,CHE,2017,9.665184
Switzerland,CHE,2018,9.665184
Switzerland,CHE,2019,9.993424
Switzerland,CHE,2020,11.95877
Switzerland,CHE,2021,12.132577
Switzerland,CHE,2022,12.14021
Syria,SYR,2016,0.69
Syria,SYR,2017,0.6853028
Syria,SYR,2018,0.6853028
Syria,SYR,2019,0.685303
Syria,SYR,2020,0.685303
Syria,SYR,2021,0.6853028
Syria,SYR,2022,0.6853028
Tajikistan,TJK,2016,22.28
Tajikistan,TJK,2017,22.278662
Tajikistan,TJK,2018,22.278662
Tajikistan,TJK,2019,22.27866
Tajikistan,TJK,2020,22.27866
Tajikistan,TJK,2021,22.278662
Tajikistan,TJK,2022,22.278662
Tanzania,TZA,2016,38.12
Tanzania,TZA,2017,38.145576
Tanzania,TZA,2018,38.145576
Tanzania,TZA,2019,38.17291
Tanzania,TZA,2020,38.2436
Tanzania,TZA,2021,38.243603
Tanzania,TZA,2022,38.37851
Thailand,THA,2016,18.81
Thailand,THA,2017,18.809172
Thailand,THA,2018,18.809172
Thailand,THA,2019,18.80917
Thailand,THA,2020,18.54725
Thailand,THA,2021,18.547802
Thailand,THA,2022,18.547802
Togo,TGO,2016,27.62
Togo,TGO,2017,27.621243
Togo,TGO,2018,27.621243
Togo,TGO,2019,27.62124
Togo,TGO,2020,27.97591
Togo,TGO,2021,27.975912
Togo,TGO,2022,27.975912
Tonga,TON,2016,15.92
Tonga,TON,2017,15.91279
Tonga,TON,2018,15.91279
Tonga,TON,2019,12.58862
Tonga,TON,2020,12.58862
Tonga,TON,2021,12.588621
Tonga,TON,2022,12.588621
Trinidad and Tobago,TTO,2016,30.6
Trinidad and Tobago,TTO,2017,30.59281
Trinidad and Tobago,TTO,2018,30.59281
Trinidad and Tobago,TTO,2019,30.59282
Trinidad and Tobago,TTO,2020,30.59282
Trinidad and Tobago,TTO,2021,30.59282
Trinidad and Tobago,TTO,2022,30.59282
Tunisia,TUN,2016,7.91
Tunisia,TUN,2017,7.914677
Tunisia,TUN,2018,7.914677
Tunisia,TUN,2019,7.914676
Tunisia,TUN,2020,7.914676
Tunisia,TUN,2021,7.9146757
Tunisia,TUN,2022,7.9146757
Turkey,TUR,2016,0.22
Turkey,TUR,2017,0.21848865
Turkey,TUR,2018,0.21848865
Turkey,TUR,2019,0.218489
Turkey,TUR,2020,0.218489
Turkey,TUR,2021,6.9518194
Turkey,TUR,2022,6.9518194
Turkmenistan,TKM,2016,3.25
Turkmenistan,TKM,2017,3.2482622
Turkmenistan,TKM,2018,3.2482622
Turkmenistan,TKM,2019,3.248262
Turkmenistan,TKM,2020,3.248262
Turkmenistan,TKM,2021,3.2482622
Turkmenistan,TKM,2022,3.2482622
Turks and Caicos Islands,TCA,2016,44.39
Turks and Caicos Islands,TCA,2017,44.367424
Turks and Caicos Islands,TCA,2018,44.367424
Turks and Caicos Islands,TCA,2019,44.36742
Turks and Caicos Islands,TCA,2020,44.36742
Turks and Caicos Islands,TCA,2021,44.367424
Turks and Caicos Islands,TCA,2022,44.367424
Tuvalu,TUV,2016,2.39
Tuvalu,TUV,2017,1.9519411
Tuvalu,TUV,2018,1.9519411
Tuvalu,TUV,2019,13.24064
Tuvalu,TUV,2020,13.24064
Tuvalu,TUV,2021,13.24064
Tuvalu,TUV,2022,13.24064
Uganda,UGA,2016,16.06
Uganda,UGA,2017,16.06395
Uganda,UGA,2018,16.06395
Uganda,UGA,2019,16.06395
Uganda,UGA,2020,16.06185
Uganda,UGA,2021,16.061846
Uganda,UGA,2022,16.061846
Ukraine,UKR,2016,3.96
Ukraine,UKR,2017,3.9867532
Ukraine,UKR,2018,3.9867532
Ukraine,UKR,2019,3.983601
Ukraine,UKR,2020,4.344565
Ukraine,UKR,2021,12.962191
Ukraine,UKR,2022,12.962191
United Arab Emirates,ARE,2016,13.07
United Arab Emirates,ARE,2017,17.95492
United Arab Emirates,ARE,2018,17.95492
United Arab Emirates,ARE,2019,17.95492
United Arab Emirates,ARE,2020,19.35131
United Arab Emirates,ARE,2021,19.351305
United Arab Emirates,ARE,2022,19.351305
United Kingdom,GBR,2016,28.24
United Kingdom,GBR,2017,28.683437
United Kingdom,GBR,2018,28.683437
United Kingdom,GBR,2019,28.70783
United Kingdom,GBR,2020,28.73743
United Kingdom,GBR,2021,28.73743
United Kingdom,GBR,2022,27.76956
United States,USA,2016,12.97
United States,USA,2017,12.993872
United States,USA,2018,12.993872
United States,USA,2019,12.99393
United States,USA,2020,11.79026
United States,USA,2021,13.018138
United States,USA,2022,13.018257
United States Virgin Islands,VIR,2016,14.64
United States Virgin Islands,VIR,2017,13.794574
United States Virgin Islands,VIR,2018,13.794574
United States Virgin Islands,VIR,2019,13.79457
United States Virgin Islands,VIR,2020,13.31499
United States Virgin Islands,VIR,2021,14.367552
United States Virgin Islands,VIR,2022,14.367552
Upper-middle-income countries,,2016,14.644755
Upper-middle-income countries,,2017,14.393984
Upper-middle-income countries,,2018,14.393974
Upper-middle-income countries,,2019,14.454374
Upper-middle-income countries,,2020,14.929529
Upper-middle-income countries,,2021,15.594482
Uruguay,URY,2016,3.5
Uruguay,URY,2017,3.446202
Uruguay,URY,2018,3.446202
Uruguay,URY,2019,3.446202
Uruguay,URY,2020,3.674082
Uruguay,URY,2021,3.675073
Uruguay,URY,2022,3.675073
Uzbekistan,UZB,2016,3.38
Uzbekistan,UZB,2017,3.3752136
Uzbekistan,UZB,2018,3.3752136
Uzbekistan,UZB,2019,3.375214
Uzbekistan,UZB,2020,5.767847
Uzbekistan,UZB,2021,5.7678466
Uzbekistan,UZB,2022,5.7678466
Vanuatu,VUT,2016,4.2
Vanuatu,VUT,2017,4.200532
Vanuatu,VUT,2018,4.200532
Vanuatu,VUT,2019,4.200532
Vanuatu,VUT,2020,4.200532
Vanuatu,VUT,2021,4.200532
Vanuatu,VUT,2022,4.200532
Venezuela,VEN,2016,54.14
Venezuela,VEN,2017,54.144173
Venezuela,VEN,2018,54.144173
Venezuela,VEN,2019,54.14416
Venezuela,VEN,2020,56.879
Venezuela,VEN,2021,56.878998
Venezuela,VEN,2022,56.878998
Vietnam,VNM,2016,7.58
Vietnam,VNM,2017,7.57678
Vietnam,VNM,2018,7.57678
Vietnam,VNM,2019,7.576781
Vietnam,VNM,2020,7.576781
Vietnam,VNM,2021,7.576781
Vietnam,VNM,2022,7.576781
World,OWID_WRL,2016,14.400239
World,OWID_WRL,2017,14.572377
World,OWID_WRL,2018,14.572405
World,OWID_WRL,2019,14.701448
World,OWID_WRL,2020,14.75412
World,OWID_WRL,2021,15.272336
Yemen,YEM,2016,0.77
Yemen,YEM,2017,0.771944
Yemen,YEM,2018,0.771944
Yemen,YEM,2019,0.771944
Yemen,YEM,2020,0.771944
Yemen,YEM,2021,0.771944
Yemen,YEM,2022,0.771944
Zambia,ZMB,2016,38.05
Zambia,ZMB,2017,37.87001
Zambia,ZMB,2018,37.87001
Zambia,ZMB,2019,41.2594
Zambia,ZMB,2020,41.2594
Zambia,ZMB,2021,41.2594
Zambia,ZMB,2022,41.2594
Zimbabwe,ZWE,2016,27.21
Zimbabwe,ZWE,2017,27.214584
Zimbabwe,ZWE,2018,27.214584
Zimbabwe,ZWE,2019,27.21475
Zimbabwe,ZWE,2020,27.21475
Zimbabwe,ZWE,2021,27.214746
Zimbabwe,ZWE,2022,27.214746
